x,z,y
7.5,11.004629587862931,2
22.5,11.004629587862931,2
37.5,11.004629587862931,2
52.5,11.004629587862931,2
67.5,11.004629587862931,2
82.5,10.882760711905014,2
97.5,10.974162368873454,2
112.5,10.897994321399754,2
127.5,10.890377516652384,2
142.5,10.989395978368194,2
157.5,10.814209469178683,2
172.5,10.875143907157645,2
187.5,10.821826273926057,2
202.5,10.798975859683946,2
217.5,10.707574202715506,2
232.5,10.547621303020737,2
247.5,10.303883551104898,2
262.5,9.96874414222062,2
277.5,9.443184614652091,2
292.5,8.864307453851977,2
307.5,8.50631763072559,2
322.5,8.186411831336052,2
337.5,8.018842126893912,2
352.5,7.935057274672843,2
367.5,8.018842126893912,2
382.5,8.254963074062381,2
397.5,8.55963526395718,2
412.5,9.062344377283596,2
427.5,9.504119052631053,2
442.5,9.9992113612101,2
457.5,10.31911716059964,2
472.5,10.555238107768108,2
487.5,10.715191007462876,2
502.5,10.783742250189205,2
517.5,8.125477393357091,2
532.5,10.829443078673425,2
547.5,10.837059883420794,2
562.5,7.881739641441253,2
577.5,10.897994321399754,2
592.5,10.951311954631343,2
607.5,10.897994321399754,2
622.5,10.936078345136604,2
637.5,10.913227930894491,2
652.5,10.920844735641865,2
667.5,10.913227930894491,2
682.5,8.772905796883538,2
697.5,7.950290884167583,2
712.5,10.997012783115563,2
727.5,11.004629587862931,2
742.5,11.004629587862931,2
757.5,11.004629587862931,2
772.5,11.004629587862931,2
787.5,11.004629587862931,2
802.5,11.004629587862931,2
817.5,11.004629587862931,2
832.5,11.004629587862931,2
847.5,11.004629587862931,2
862.5,11.004629587862931,2
877.5,11.004629587862931,2
892.5,11.004629587862931,2
907.5,11.004629587862931,2
922.5,11.004629587862931,2
937.5,11.004629587862931,2
952.5,11.004629587862931,2
967.5,11.004629587862931,2
982.5,11.004629587862931,2
997.5,11.004629587862931,2
1012.5,11.004629587862931,2
1027.5,11.004629587862931,2
1042.5,11.004629587862931,2
1057.5,11.004629587862931,2
1072.5,11.004629587862931,2
1087.5,11.004629587862931,2
1102.5,11.004629587862931,2
1117.5,11.004629587862931,2
7.5,8.631873713053263,5
22.5,8.631873713053263,5
37.5,8.631873713053263,5
52.5,8.631873713053263,5
67.5,8.631873713053263,5
82.5,8.631873713053263,5
97.5,8.631873713053263,5
112.5,8.631873713053263,5
127.5,8.631873713053263,5
142.5,8.631873713053263,5
157.5,8.631873713053263,5
172.5,8.631873713053263,5
187.5,8.631873713053263,5
202.5,8.631873713053263,5
217.5,11.041422478931688,5
232.5,8.738668118189148,5
247.5,8.711969516905176,5
262.5,8.738668118189148,5
277.5,8.658572314337235,5
292.5,8.731993467868156,5
307.5,8.711969516905176,5
322.5,8.71864416722617,5
337.5,8.691945565942198,5
352.5,8.711969516905176,5
367.5,8.71864416722617,5
382.5,8.691945565942198,5
397.5,8.725318817547162,5
412.5,8.711969516905176,5
427.5,8.745342768510142,5
442.5,8.71864416722617,5
457.5,8.725318817547162,5
472.5,9.29933874515255,5
487.5,8.83878787300404,5
502.5,8.85881182396702,5
517.5,8.99897948070787,5
532.5,9.25929084322659,5
547.5,9.866684022436942,5
562.5,11.53534660268516,5
577.5,10.534149054536227,5
592.5,11.295059191129416,5
607.5,11.53534660268516,5
622.5,11.228312687919487,5
637.5,10.921278773153816,5
652.5,10.867881570585872,5
667.5,10.807809717696935,5
682.5,10.801135067375943,5
697.5,10.914604122832822,5
712.5,11.148216884067573,5
727.5,11.308408491771402,5
742.5,10.614244858388144,5
757.5,9.853334721794957,5
772.5,9.312688045794534,5
787.5,9.012328781349856,5
802.5,8.885510425250992,5
817.5,8.638548363374255,5
832.5,8.83878787300404,5
847.5,8.678596265300213,5
862.5,8.818763922041063,5
877.5,8.678596265300213,5
892.5,8.71864416722617,5
907.5,8.71864416722617,5
922.5,10.567522306141193,5
937.5,8.631873713053263,5
952.5,8.631873713053263,5
967.5,8.631873713053263,5
982.5,8.631873713053263,5
997.5,8.631873713053263,5
1012.5,8.631873713053263,5
1027.5,8.631873713053263,5
1042.5,8.631873713053263,5
1057.5,8.631873713053263,5
1072.5,8.631873713053263,5
1087.5,8.631873713053263,5
1102.5,8.631873713053263,5
1117.5,8.631873713053263,5
7.5,7.626505016327153,4
22.5,7.626505016327153,4
37.5,7.626505016327153,4
52.5,7.626505016327153,4
67.5,7.626505016327153,4
82.5,7.626505016327153,4
97.5,11.01763699415793,4
112.5,7.755866999132687,4
127.5,7.718906432616819,4
142.5,7.765107140761653,4
157.5,7.728146574245787,4
172.5,7.820547990535454,4
187.5,7.69118600772992,4
202.5,7.755866999132687,4
217.5,7.755866999132687,4
232.5,7.644985299585087,4
247.5,7.91294940682512,4
262.5,7.681945866100953,4
277.5,7.737386715874754,4
292.5,7.718906432616819,4
307.5,7.765107140761653,4
322.5,7.69118600772992,4
337.5,7.755866999132687,4
352.5,7.728146574245787,4
367.5,7.718906432616819,4
382.5,7.737386715874754,4
397.5,7.792827565648554,4
412.5,7.848268415422353,4
427.5,7.866748698680287,4
442.5,9.659336174699826,4
457.5,7.922189548454087,4
472.5,8.143952947549288,4
487.5,8.458117762934155,4
502.5,9.03100654393009,4
517.5,9.87185943216606,4
532.5,10.777393311804795,4
547.5,11.405722942574531,4
562.5,11.6090060584118,4
577.5,11.304081384655898,4
592.5,11.193199685108295,4
607.5,10.96219614438413,4
622.5,10.96219614438413,4
637.5,11.008396852528964,4
652.5,11.128518693705532,4
667.5,11.378002517687632,4
682.5,11.4426835090904,4
697.5,11.378002517687632,4
712.5,10.675751753886162,4
727.5,9.779458015876394,4
742.5,8.966325552527325,4
757.5,8.374956488273455,4
772.5,8.060791672888588,4
787.5,7.922189548454087,4
802.5,7.848268415422353,4
817.5,7.8297881321644205,4
832.5,7.728146574245787,4
847.5,7.718906432616819,4
862.5,7.728146574245787,4
877.5,7.709666290987853,4
892.5,7.737386715874754,4
907.5,7.737386715874754,4
922.5,7.74662685750372,4
937.5,10.324626371985428,4
952.5,7.626505016327153,4
967.5,7.626505016327153,4
982.5,7.626505016327153,4
997.5,7.626505016327153,4
1012.5,7.626505016327153,4
1027.5,7.626505016327153,4
1042.5,7.626505016327153,4
1057.5,7.626505016327153,4
1072.5,7.626505016327153,4
1087.5,7.626505016327153,4
1102.5,7.626505016327153,4
1117.5,7.626505016327153,4
7.5,7.2144191319200655,3
22.5,7.2144191319200655,3
37.5,7.2144191319200655,3
