x,z,y
7.5,9.464041279638645,15
22.5,9.464041279638645,15
37.5,9.464041279638645,15
52.5,9.464041279638645,15
67.5,9.464041279638645,15
82.5,10.202532080910132,15
97.5,10.448695681333959,15
112.5,10.9337827762868,15
127.5,11.281307859238087,15
142.5,11.636073048084192,15
157.5,11.925677283876933,15
172.5,12.084959613562939,15
187.5,12.099439825352576,15
202.5,12.041518978194029,15
217.5,11.78811527187538,15
232.5,11.563671989136008,15
247.5,11.165466164920991,15
262.5,10.897582246812707,15
277.5,10.5428170579666,15
292.5,10.180811763225675,15
307.5,9.96360858638112,15
322.5,12.381803955250497,15
337.5,9.797086150800295,15
352.5,9.659524138798744,15
367.5,12.193561201985217,15
382.5,9.652284032903925,15
397.5,9.594363185745378,15
412.5,9.594363185745378,15
427.5,9.594363185745378,15
442.5,9.536442338586829,15
457.5,9.500241809112737,15
472.5,9.536442338586829,15
487.5,9.543682444481647,15
502.5,9.558162656271286,15
517.5,9.572642868060921,15
532.5,9.572642868060921,15
547.5,11.40438965945,15
562.5,12.570046708515779,15
577.5,9.464041279638645,15
592.5,9.464041279638645,15
607.5,9.464041279638645,15
622.5,9.464041279638645,15
637.5,9.464041279638645,15
652.5,9.464041279638645,15
667.5,9.464041279638645,15
682.5,9.464041279638645,15
697.5,9.464041279638645,15
712.5,9.464041279638645,15
727.5,9.464041279638645,15
742.5,9.464041279638645,15
757.5,9.464041279638645,15
772.5,9.464041279638645,15
787.5,9.464041279638645,15
802.5,9.464041279638645,15
817.5,9.464041279638645,15
832.5,9.464041279638645,15
847.5,9.464041279638645,15
862.5,9.464041279638645,15
877.5,9.464041279638645,15
892.5,9.464041279638645,15
907.5,9.464041279638645,15
922.5,9.464041279638645,15
937.5,9.464041279638645,15
952.5,9.464041279638645,15
967.5,9.464041279638645,15
982.5,9.464041279638645,15
997.5,9.464041279638645,15
1012.5,9.464041279638645,15
1027.5,9.464041279638645,15
1042.5,9.464041279638645,15
1057.5,9.464041279638645,15
1072.5,9.464041279638645,15
1087.5,9.464041279638645,15
1102.5,9.464041279638645,15
1117.5,9.464041279638645,15
