x,z,y
7.5,9.849159569254955,9
22.5,9.923111470200126,9
37.5,9.980886392813542,9
52.5,10.073326268995007,9
67.5,10.198120101839987,9
82.5,10.311358950162282,9
97.5,10.419975804675502,9
112.5,10.500860696334286,9
127.5,10.533214652997797,9
142.5,10.56556860966131,9
157.5,10.551702628234091,9
172.5,10.514726677761505,9
187.5,10.484683718002529,9
202.5,10.436152783007259,9
217.5,10.369133872775697,9
232.5,10.267450008976084,9
247.5,10.161144151367399,9
262.5,10.020173340190665,9
277.5,9.934666454722809,9
292.5,9.853781563064027,9
307.5,10.149589166844716,9
322.5,9.807561624973294,9
337.5,9.765963680691636,9
352.5,9.696633773555536,9
367.5,10.445396770625406,9
382.5,9.67352380451017,9
397.5,10.06408228137686,9
412.5,9.650413835464803,9
427.5,9.957776423768175,9
442.5,10.101058231849446,9
457.5,9.657346826178413,9
472.5,10.424597798484577,9
487.5,9.682767792128317,9
502.5,9.678145798319242,9
517.5,9.661968819987488,9
532.5,10.299803965639597,9
547.5,9.661968819987488,9
562.5,10.58636758180214,9
577.5,9.638858850942121,9
592.5,9.638858850942121,9
607.5,10.082570256613154,9
622.5,9.615748881896755,9
637.5,9.615748881896755,9
652.5,9.615748881896755,9
667.5,9.615748881896755,9
682.5,9.615748881896755,9
697.5,9.615748881896755,9
712.5,9.615748881896755,9
727.5,9.615748881896755,9
742.5,9.615748881896755,9
757.5,9.615748881896755,9
772.5,9.615748881896755,9
787.5,9.615748881896755,9
802.5,9.615748881896755,9
817.5,9.615748881896755,9
832.5,9.615748881896755,9
847.5,9.615748881896755,9
862.5,9.615748881896755,9
877.5,9.615748881896755,9
892.5,9.615748881896755,9
907.5,9.650413835464803,9
922.5,9.643480844751194,9
937.5,9.636547854037584,9
952.5,9.645791841655731,9
967.5,9.620370875705827,9
982.5,9.661968819987488,9
997.5,9.643480844751194,9
1012.5,9.631925860228511,9
1027.5,10.216608077076279,9
1042.5,9.61805987880129,9
1057.5,9.645791841655731,9
1072.5,9.675834801414707,9
1087.5,10.034039321617884,9
1102.5,9.701255767364609,9
1117.5,9.782140659023392,9
