x,z
7.5,8.834968148255399
22.5,8.834968148255399
37.5,8.834968148255399
52.5,8.834968148255399
67.5,8.834968148255399
82.5,8.834968148255399
97.5,8.834968148255399
112.5,8.834968148255399
127.5,8.834968148255399
142.5,8.834968148255399
157.5,8.834968148255399
172.5,8.834968148255399
187.5,8.834968148255399
202.5,8.834968148255399
217.5,8.834968148255399
232.5,8.834968148255399
247.5,8.834968148255399
262.5,8.834968148255399
277.5,8.834968148255399
292.5,8.834968148255399
307.5,8.834968148255399
322.5,8.834968148255399
337.5,8.834968148255399
352.5,8.834968148255399
367.5,8.834968148255399
382.5,8.834968148255399
397.5,8.834968148255399
412.5,8.834968148255399
427.5,8.834968148255399
442.5,8.834968148255399
457.5,8.834968148255399
472.5,8.834968148255399
487.5,8.834968148255399
502.5,8.834968148255399
517.5,8.834968148255399
532.5,10.73706022875345
547.5,10.546851020703642
562.5,12.639152309251486
577.5,10.166432604604026
592.5,12.639152309251486
607.5,12.068524685102076
622.5,10.166432604604026
637.5,9.025177356305207
652.5,9.405595772404808
667.5,10.546851020703642
682.5,8.834968148255399
697.5,12.639152309251486
712.5,9.215386564355015
727.5,12.639152309251486
742.5,12.639152309251486
757.5,8.834968148255399
772.5,9.595804980454616
787.5,10.546851020703642
802.5,9.786014188504424
817.5,10.546851020703642
832.5,10.546851020703642
847.5,8.834968148255399
862.5,8.834968148255399
877.5,8.834968148255399
892.5,8.834968148255399
907.5,8.834968148255399
922.5,8.834968148255399
937.5,8.834968148255399
952.5,8.834968148255399
967.5,8.834968148255399
982.5,8.834968148255399
997.5,8.834968148255399
1012.5,8.834968148255399
1027.5,8.834968148255399
1042.5,8.834968148255399
1057.5,8.834968148255399
1072.5,8.834968148255399
1087.5,8.834968148255399
1102.5,8.834968148255399
1117.5,8.834968148255399
